Linux 5.11.0-1022-aws (ip-172-31-22-195) 	12/31/21 	_x86_64_	(2 CPU)

09:41:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:43:51     all    5.00    0.00   94.00    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:43:52     all    6.09    0.00   88.32    0.00    0.00    0.51    0.00    0.00    0.00    5.08
09:43:53     all    6.53    0.00   92.46    0.00    0.00    0.00    0.00    0.00    0.00    1.01
09:43:54     all    5.53    0.00   92.96    0.00    0.00    1.01    0.00    0.00    0.00    0.50
09:43:55     all    7.11    0.00   86.80    0.00    0.00    0.00    0.00    0.00    0.00    6.09
09:43:56     all    6.12    0.00   87.24    0.00    0.00    0.00    0.00    0.00    0.00    6.63
09:43:57     all    5.13    0.00   86.15    0.00    0.00    0.51    0.00    0.00    0.00    8.21
09:43:58     all    4.92    0.00   77.05    0.00    0.00    0.55    0.00    0.00    0.00   17.49
09:43:59     all    5.05    0.00   86.87    0.00    0.00    1.01    0.00    0.00    0.00    7.07
09:44:00     all    7.25    0.00   84.97    0.00    0.00    0.52    0.00    0.00    0.00    7.25
09:44:01     all    6.53    0.00   92.96    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:44:02     all    4.00    0.00   93.00    0.00    0.00    0.50    0.00    0.00    0.00    2.50
09:44:03     all    6.97    0.00   92.54    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:44:04     all    4.06    0.00   94.92    0.00    0.00    0.00    0.00    0.00    0.00    1.02
09:44:05     all    6.09    0.00   87.31    0.00    0.00    0.00    0.00    0.00    0.00    6.60
09:44:06     all    7.07    0.00   90.40    0.00    0.00    0.00    0.00    0.00    0.00    2.53
09:44:07     all   10.50    0.00   89.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:44:08     all    6.60    0.00   90.36    0.00    0.00    0.51    0.00    0.00    0.00    2.54
09:44:09     all    8.25    0.00   84.54    0.00    0.00    0.52    0.00    0.00    0.00    6.70
09:44:10     all    7.00    0.00   91.50    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:44:11     all    7.11    0.00   90.86    0.00    0.00    0.00    0.00    0.00    0.00    2.03
09:44:12     all    7.50    0.00   91.50    0.00    0.00    0.00    0.00    0.00    0.00    1.00
09:44:13     all    5.47    0.00   93.03    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:44:14     all    5.00    0.00   90.50    0.00    0.00    1.00    0.00    0.00    0.00    3.50
09:44:15     all    5.79    0.00   81.58    0.00    0.00    0.53    0.00    0.00    0.00   12.11
09:44:16     all    6.53    0.00   92.96    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:44:17     all    8.21    0.00   80.51    0.00    0.00    0.51    0.00    0.00    0.00   10.77
09:44:18     all    6.63    0.00   84.69    0.00    0.00    1.02    0.00    0.00    0.00    7.65
09:44:19     all    4.08    0.00   90.82    0.00    0.00    0.51    0.00    0.00    0.00    4.59
09:44:20     all    5.03    0.00   94.47    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:44:21     all    5.56    0.00   89.90    0.00    0.00    0.00    0.00    0.00    0.00    4.55
09:44:22     all    8.50    0.00   91.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:44:23     all    5.08    0.00   91.88    0.00    0.00    0.00    0.00    0.00    0.00    3.05
09:44:24     all    6.88    0.00   81.48    0.00    0.00    1.06    0.00    0.00    0.00   10.58
09:44:25     all    6.28    0.00   76.44    0.00    0.00    1.57    0.00    0.00    0.00   15.71
09:44:26     all    6.00    0.00   93.50    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:44:27     all    6.09    0.00   90.86    0.00    0.00    0.51    0.00    0.00    0.00    2.54
09:44:28     all    4.17    0.00   78.65    0.00    0.00    1.56    0.00    0.00    0.00   15.62
09:44:29     all    6.09    0.00   93.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:44:30     all    6.57    0.00   87.88    0.00    0.00    0.51    0.00    0.00    0.00    5.05
09:44:31     all    7.25    0.00   78.76    0.00    0.00    1.55    0.00    0.00    0.00   12.44
09:44:32     all    5.47    0.00   94.03    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:44:33     all    7.04    0.00   91.46    0.00    0.00    0.00    0.00    0.00    0.00    1.51
09:44:34     all    6.50    0.00   92.50    0.00    0.00    1.00    0.00    0.00    0.00    0.00
09:44:35     all    5.08    0.00   87.82    0.00    0.00    2.03    0.00    0.00    0.00    5.08
09:44:36     all    7.50    0.00   92.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:44:37     all    4.71    0.00   83.77    0.00    0.00    1.57    0.00    0.00    0.00    9.95
09:44:38     all    6.03    0.00   93.47    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:44:39     all    5.47    0.00   93.03    0.00    0.00    1.00    0.00    0.00    0.00    0.50
09:44:40     all    6.50    0.00   91.50    0.00    0.00    0.00    0.00    0.00    0.00    2.00
09:44:41     all    5.05    0.00   93.43    0.00    0.00    0.00    0.00    0.00    0.00    1.52
09:44:42     all    6.63    0.00   85.20    0.00    0.00    0.51    0.00    0.00    0.00    7.65
09:44:43     all    5.50    0.00   94.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:44:44     all    5.00    0.00   94.50    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:44:45     all    6.09    0.00   91.37    0.00    0.00    0.51    0.00    0.00    0.00    2.03
09:44:46     all    7.46    0.00   91.54    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:44:47     all    5.53    0.00   94.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:44:48     all    6.97    0.00   91.54    0.00    0.00    1.00    0.00    0.00    0.00    0.50
09:44:49     all    5.67    0.00   87.11    0.00    0.00    0.00    0.00    0.00    0.00    7.22
09:44:50     all    7.58    0.00   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.51
09:44:51     all    5.03    0.00   94.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:44:52     all    6.06    0.00   83.33    0.00    0.00    1.01    0.00    0.00    0.00    9.60
09:44:53     all    5.97    0.00   93.53    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:44:54     all    5.88    0.00   75.40    0.00    0.00    0.53    0.00    0.00    0.00   18.18
09:44:55     all    3.66    0.00   84.82    0.00    0.00    1.57    0.00    0.00    0.00    9.95
09:44:56     all    5.45    0.00   94.06    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:44:57     all    4.62    0.00   89.23    0.00    0.00    0.00    0.00    0.00    0.00    6.15
09:44:58     all    6.50    0.00   92.00    0.00    0.00    1.00    0.00    0.00    0.00    0.50
09:44:59     all    7.50    0.00   92.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:00     all    5.03    0.00   94.47    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:45:01     all    5.08    0.00   91.37    0.00    0.00    0.51    0.00    0.00    0.00    3.05
09:45:02     all    5.53    0.00   94.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:03     all    5.97    0.00   93.53    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:45:04     all    6.53    0.00   89.95    0.00    0.00    0.50    0.00    0.00    0.00    3.02
09:45:05     all    6.53    0.00   92.96    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:45:06     all    5.50    0.00   94.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:45:07     all    6.03    0.00   86.43    0.00    0.00    1.51    0.00    0.00    0.00    6.03
09:45:08     all    9.50    0.00   89.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50
09:45:09     all    9.64    0.00   84.26    0.00    0.00    0.51    0.00    0.00    0.00    5.58
09:45:10     all    6.63    0.00   84.69    0.00    0.00    0.51    0.00    0.00    0.00    8.16
09:45:11     all    6.19    0.00   84.54    0.00    0.00    1.55    0.00    0.00    0.00    7.73
09:45:12     all    5.47    0.00   93.03    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:45:13     all    5.56    0.00   94.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:14     all    6.97    0.00   92.54    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:45:15     all    8.00    0.00   90.50    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:45:16     all    5.56    0.00   91.92    0.00    0.00    1.01    0.00    0.00    0.00    1.52
09:45:17     all    5.50    0.00   94.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:18     all    6.57    0.00   88.38    0.00    0.00    0.51    0.00    0.00    0.00    4.55
09:45:19     all    6.12    0.00   87.24    0.00    0.00    1.02    0.00    0.00    0.00    5.61
09:45:20     all    5.91    0.00   79.03    0.00    0.00    0.54    0.00    0.00    0.00   14.52
09:45:21     all    3.98    0.00   94.53    0.00    0.00    1.00    0.00    0.00    0.00    0.50
09:45:22     all    5.47    0.00   93.03    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:45:23     all    6.63    0.00   91.84    0.00    0.00    0.00    0.00    0.00    0.00    1.53
09:45:24     all    6.50    0.00   93.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:25     all    6.03    0.00   93.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:26     all    5.08    0.00   87.82    0.00    0.00    0.51    0.00    0.00    0.00    6.60
09:45:27     all    5.10    0.00   91.84    0.00    0.00    1.02    0.00    0.00    0.00    2.04
09:45:28     all    5.50    0.00   94.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:45:29     all    4.48    0.00   94.53    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:45:30     all    4.74    0.00   86.84    0.00    0.00    0.00    0.00    0.00    0.00    8.42
09:45:31     all    8.02    0.00   73.26    0.00    0.00    1.60    0.00    0.00    0.00   17.11
09:45:32     all    7.25    0.00   84.97    0.00    0.00    0.00    0.00    0.00    0.00    7.77
09:45:33     all    5.45    0.00   92.08    0.00    0.00    0.50    0.00    0.00    0.00    1.98
09:45:34     all    5.24    0.00   89.01    0.00    0.00    0.00    0.00    0.00    0.00    5.76
09:45:35     all    6.44    0.00   93.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:36     all    6.50    0.00   92.50    0.00    0.00    1.00    0.00    0.00    0.00    0.00
09:45:37     all    5.53    0.00   94.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:38     all    5.08    0.00   93.40    0.00    0.00    0.00    0.00    0.00    0.00    1.52
09:45:39     all    7.50    0.00   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:45:40     all    5.05    0.00   91.41    0.00    0.00    1.01    0.00    0.00    0.00    2.53
09:45:41     all    7.88    0.00   90.15    0.00    0.00    0.49    0.00    0.00    0.00    1.48
09:45:42     all    6.09    0.00   91.37    0.00    0.00    0.51    0.00    0.00    0.00    2.03
09:45:43     all    5.18    0.00   88.08    0.00    0.00    0.52    0.00    0.00    0.00    6.22
09:45:44     all    8.04    0.00   88.44    0.00    0.00    0.50    0.00    0.00    0.00    3.02
09:45:45     all    5.00    0.00   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:45:46     all    5.82    0.00   80.95    0.00    0.00    0.53    0.00    0.00    0.00   12.70
09:45:47     all    5.13    0.00   89.23    0.00    0.00    0.00    0.00    0.00    0.00    5.64
09:45:48     all    6.53    0.00   91.46    0.00    0.00    1.01    0.00    0.00    0.00    1.01
09:45:49     all    5.97    0.00   93.03    0.00    0.00    0.00    0.00    0.00    0.00    1.00
09:45:50     all    6.57    0.00   91.92    0.00    0.00    0.51    0.00    0.00    0.00    1.01
09:45:51     all    6.97    0.00   91.54    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:45:52     all    5.50    0.00   93.50    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:45:53     all    7.50    0.00   92.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:45:54     all    4.17    0.00   85.42    0.00    0.00    1.04    0.00    0.00    0.00    9.38
09:45:55     all    5.50    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:45:56     all    6.15    0.00   89.23    0.00    0.00    0.00    0.00    0.00    0.00    4.62
09:45:57     all    5.91    0.00   90.15    0.00    0.00    0.99    0.00    0.00    0.00    2.96
09:45:58     all    5.76    0.00   89.53    0.00    0.00    0.00    0.00    0.00    0.00    4.71
09:45:59     all    4.98    0.00   94.53    0.00    0.00    0.00    0.00    0.00    0.00    0.50
09:46:00     all    6.50    0.00   91.50    0.00    0.00    1.00    0.00    0.00    0.00    1.00
